Titulo;Fecha Estreno;Genero;Duracion;Año;Clasificacion Edad;Protagonistas;Sinopsis;Link;Portada
Amor con fianza;11/11/2021;Reality TV de competición;-;-;-;Mónica Naranjo;Seis parejas se someten a un detector con tecnología ocular en este reality, en el que las mentiras salen caras... y la verdad y la confianza conducen a un gran premio.;https://www.netflix.com/watch/81395000;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABT72Cr3RLU7O3EFSlbUOPGN4NT2r_6nwBfGcUo4c3XEMxtb9pwjeE3s57XyNeoZ59u58uGDtdTBeKhHTER--L8GkKywxnQXUNoGMzoQeuDaQZ5NHvWksX3PU5kw2vQ.jpg?r=108
7 prisioneros;11/11/2021;Dramas;1h 34 min;-;-;Christian Malheiros,Rodrigo Santoro,Bruno Rocha;Un joven sin recursos que intenta escapar de las garras de un traficante de personas se ve obligado a replantearse su propio código moral mientras lucha por sobrevivir.;https://www.netflix.com/watch/81173970;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZbICgcLIAsPaBsejPmW9qRsPnOEA3YCxTfWCB1gVRxvQOv43GpmuVrV8EH-S5IP7NNDA1jXDi274Slist-bjBWBi20BUdyqmZo8ZjD2bOoLsOqKKjF_z_FIxjK-mw.jpg?r=638
Alerta roja;12/11/2021;Acción y aventuras;1h 57 min;-;-;Dwayne Johnson,Ryan Reynolds,Gal Gadot;Un criminólogo del FBI y el ladrón de arte más buscado del mundo se hacen compinches para atrapar a una escurridiza estafadora que siempre va un paso por delante.;https://www.netflix.com/watch/81161626;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABb3Z4rPHSI_wG8ZXipOt4zRvr39D4MhtI7_fOaT3BpIW6PG-B9t1Yz2-klDda40_FJPjd1VeapcUI4nUlvIlU-KsFutcIfdBtl0oCLFqA5G8L7-TypeF5NEp1Jf0Gw.jpg?r=aed
StoryBots: Laugh, Learn, Sing;16/11/2021;Con música para niños;-;-;-;-;Learn along with Beep, Boop, Bing, Bang and Bo as they make their way through a musical alphabet, from awesome A's to mighty M's and all the way to Z!;https://www.netflix.com/watch/81380458;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZVrZkaqyuLNrcL6x6guZiUlD5DrNqX3uYf1ECmMXWB-i1ua4F9l6th_Yy1W5mlzW826DR6aD551bjLcPcQXo4RvomDrM-5vZlEisXDm3tF1eiHOHvB_UuEfmBpACA.jpg?r=362
Michael Che: Shame the Devil;16/11/2021;Monólogos de humoristas;58 min;-;-;Michael Che;Michael Che vuelve al escenario en Oakland y trata el patriotismo estadounidense, el liderazgo de los negros, los ex celosos, los osos sueltos, la salud mental y más.;https://www.netflix.com/watch/81152775;https://dnm.nflximg.net/api/v6/Kc8CA9GHHouTKoU4bM9l5VW4DIA/AAAABdrhx8yrmyV-amVAet7RFnqC22bTl3V9aAF2dWl09as6i3d77194IOsReaUHXTz0uQpyfRTdbJW76GFl-qb9fnSg5TVDWoajLMw4Jvo3hxN4Nr8TO_Eze_XFuIZdYSsDLdyPgH6AMMQNZyFNu3vL_-btm-0lV66WZA.jpg
Johnny Test: Misión Pastel de carne;16/11/2021;Comedias;20 min;-;-;James Arnold Taylor,Trevor Devall,Maryke Hendrikse;Una épica aventura interactiva en la que Johnny y Dukey van en busca del pastel de carne perfecto para no tener que cenar la versión horrible de papá.;https://www.netflix.com/watch/81287545;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSL84bOTW6ANYfFqHeP6yFjC95u9fwtdgH4i7q0zMLwTF9B3OG5I9KjI0zMA1M9_q9TYDM1-tSTemPNAlAWIlpuq3IKTTjCS7kQfIQVNATCDPNmzhpGk14xGOnYePA.jpg?r=bda
Cortar por la línea de puntos;17/11/2021;Comedias TV;-;-;-;Zerocalcare,Valerio Mastandrea,Paolo Vivio;Un dibujante de Roma con un armadillo por consciencia reflexiona sobre su trayectoria vital y un posible amor mientras viaja fuera de la ciudad con un par de amigos.;https://www.netflix.com/watch/81304529;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUNPm-swa3x4J5c0GlltIgsXoJAMLNvn6g-pdzMFhdCwT1g-SzW4XJEllAZHJ32ywggFvHIyBAI9VCYH7P4E938_w0NN7TvDukNQ1A7_jQiWeeWnQT8_E5ByhdHe7Q.jpg?r=ec9
Flow navideño;17/11/2021;Comedias TV;-;-;-;Tayc,Shirine Boutella,Marion Séclin;Un inesperado romance navideño surge entre un rapero famoso y una tenaz periodista. ¿Pero podrán conseguir que la relación funcione a pesar de sus diferencias?;https://www.netflix.com/watch/81288422;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABa9l8T5iZlCMiIviXWuRtphCEK3MmjHIlqaXsMee7uR1rg0yF15m8srdZIsiSsxIt301iJxQeRBSYtZiqQt9UAlrcQ-PZxQUzGQh7WfXiY0wB_8cyOj17_BW0JO9oA.jpg?r=01f
La reina del flow;17/11/2021;Música y musicales;1 temporada;2018;16+ ;Carolina Ramírez,Carlos Torres,Andrés Sandoval;Diecisiete años después de ser injustamente encarcelada, una brillante compositora busca vengarse de los hombres que la hundieron y asesinaron a su familia.;https://www.netflix.com/watch/81055394;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABX9qQeqARmPQ-T0YKrWKSDhmRv9y4kBFByeT3a-5n9f1oyxWb0BJlKyfyCtFaIsA7-BIrbADK2lEodEOOY8alvYyY9xuZ5bDLy1Vu-B1Xih3RCtgH9ymncPQU_AlIw.jpg?r=1f9
Tiger King;17/11/2021;Series TV de EE UU;1 temporada;2020;16+ ;-;El dueño de un zoo, rodeado de los excéntricos personajes del submundo de la cría de grandes felinos, es acusado de contratar a un sicario. Basada en hechos reales.;https://www.netflix.com/watch/81281284;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABR63cQ9EsKAikaOj9oOoxOY4oRGpF2VquCMOyh4m-Cw-UJg9dTyGdYyjUZwlvz32URNRAONwqfg0ulDGRH7C9pCIueYP0AAZSeCeMfh8Tj_kg9kWuuycgSXGIUFNeg.jpg?r=02f
